date ,calories,weight
2026-01-21,3288,
2026-01-22,2390,
2026-01-23,2390,
2026-01-24,2320,
2026-01-25,2525,
2026-01-26,2160,
2026-01-27,1730,
2026-01-28,1615,98
2026-01-29,2995,
2026-01-30,1885,98.3
2026-01-31,1930,98.4
2026-02-01,2115,
2026-02-02,1810,
2026-02-03,1870,97.5
2026-02-04,2100,97.5
2026-02-05,2215,98
2026-02-06,2145,97.3
2026-02-07,2190,97.2
2026-02-08,2140,
2026-02-09,1845,96.6
2026-02-10,1905,96
2026-02-11,2190,96.2
2026-02-12,2045,96.3
2026-02-13,2180,95.6
2026-02-14,1068,
2026-02-15,2110,
2026-02-16,1881,
2026-02-17,1801,94.9
2026-02-18,2146,94.8
2026-02-19,2021,94.9
2026-02-20,1816,94.6
2026-02-21,2111,94.5
2026-02-22,2081,
2026-02-23,2053,
2026-02-24,2031,
2026-02-25,1866,93.8
2026-02-26,2225,93.8
2026-02-27,1945,93.8
2026-02-28,2240,93.8
2026-03-01,2581,
2026-03-02,1690,93.5
2026-03-03,1740,93.3
2026-03-04,2289,
2026-03-05,2419,93.6
2026-03-06,3490,
2026-03-07,2800,93.8
2026-03-08,1780,
2026-03-09,2190,92
2026-03-10,1910,92.7
2026-03-11,1615,92.4
2026-03-12,2240,93.1
2026-03-13,2210,
2026-03-14,2150,
2026-03-15,1964,
2026-03-16,2154,92.5
2026-03-17,1969,92.1
2026-03-18,2340,
2026-03-19,2710,
2026-03-20,3555,
2026-03-21,3555,
2026-03-22,2860,
2026-03-23,1660,91.9
2026-03-24,2000,92.1
2026-03-25,1655,91.5
2026-03-26,2200,91.3
2026-03-27,2095,90.8
2026-03-28,2100,91
2026-03-29,2100,
2026-03-30,1870,90.3
2026-03-31,2100,90.6
2026-04-01,2060,
2026-04-02,2000,90.2
2026-04-03,2100,90.7
2026-04-04,2400,89.4
2026-04-05,2050,
2026-04-06,2100,89.3
2026-04-07,2100,
2026-04-08,2100,89
2026-04-09,2100,89
2026-04-10,2100,89.6
2026-04-11,2100,88.6
2026-04-12,2105,
2026-04-13,2120,89.1
2026-04-14,1583,88.2
2026-04-15,2089,88.7
2026-04-16,2099,88
2026-04-17,2039,
2026-04-18,1350,
2026-04-19,2100,
2026-04-20,2045,87.5
2026-04-21,2100,87.9
2026-04-22,1884,88.3
2026-04-23,2060,
2026-04-24,2100,86.6
2026-04-25,1978,
2026-04-26,1992,
2026-04-27,2036,88.4
2026-04-28,2064,87.6
2026-04-29,2068,86.5
2026-04-30,2100,87
2026-05-01,2263,86.1
2026-05-02,3200,87.3
2026-05-03,2791,
2026-05-04,1587,
2026-05-05,1696,
2026-05-06,2019,
2026-05-07,2916,
2026-05-08,2722,
2026-05-09,2400,
2026-05-10,3106,
2026-05-11,2097,86.1
2026-05-12,2088,85.9
2026-05-13,2057,85.5
2026-05-14,1832,85.5
2026-05-15,2882,
2026-05-16,2374,85.5
2026-05-17,2600,
2026-05-18,2491,
2026-05-19,1766,
2026-05-20,1898,85
2026-05-21,2100,
2026-05-22,2119,85
2026-05-23,2100,
2026-05-24,2310,
2026-05-25,1951,82.8
