date,calories,weight,weight_missing,calories_missing,weight_interpolated,weight_7d_avg,weight_14d_avg,weight_change_daily,weight_change_7d,large_calorie_gap,calories_cleaned,is_interpolated
2026-01-21,3288.0,,True,False,,,,,,False,3288.0,True
2026-01-22,2390.0,,True,False,,,,,,False,2390.0,True
2026-01-23,2390.0,,True,False,,,,,,False,2390.0,True
2026-01-24,2320.0,,True,False,,,,,,False,2320.0,True
2026-01-25,2525.0,,True,False,,,,,,False,2525.0,True
2026-01-26,2160.0,,True,False,,,,,,False,2160.0,True
2026-01-27,1730.0,,True,False,,,,,,False,1730.0,True
2026-01-28,1615.0,98.0,False,False,98.0,98.0,98.0,,,False,1615.0,False
2026-01-29,2995.0,,True,False,98.15,98.08,98.08,0.15,,False,2995.0,True
2026-01-30,1885.0,98.3,False,False,98.3,98.15,98.15,0.15,,False,1885.0,False
2026-01-31,1930.0,98.4,False,False,98.4,98.21,98.21,0.1,,False,1930.0,False
2026-02-01,2115.0,,True,False,98.10000000000001,98.19,98.19,-0.3,,False,2115.0,True
2026-02-02,1810.0,,True,False,97.8,98.12,98.12,-0.3,,False,1810.0,True
2026-02-03,1870.0,97.5,False,False,97.5,98.04,98.04,-0.3,,False,1870.0,False
2026-02-04,2100.0,97.5,False,False,97.5,97.96,97.97,0.0,-0.04,False,2100.0,False
2026-02-05,2215.0,98.0,False,False,98.0,97.94,97.97,0.5,-0.14,False,2215.0,False
2026-02-06,2145.0,97.3,False,False,97.3,97.8,97.9,-0.7,-0.35,False,2145.0,False
2026-02-07,2190.0,97.2,False,False,97.2,97.63,97.84,-0.1,-0.58,False,2190.0,False
2026-02-08,2140.0,,True,False,96.9,97.46,97.76,-0.3,-0.73,False,2140.0,True
2026-02-09,1845.0,96.6,False,False,96.6,97.29,97.67,-0.3,-0.83,False,1845.0,False
2026-02-10,1905.0,96.0,False,False,96.0,97.07,97.55,-0.6,-0.97,False,1905.0,False
2026-02-11,2190.0,96.2,False,False,96.2,96.89,97.42,0.2,-1.07,False,2190.0,False
2026-02-12,2045.0,96.3,False,False,96.3,96.64,97.29,0.1,-1.3,False,2045.0,False
2026-02-13,2180.0,95.6,False,False,95.6,96.4,97.1,-0.7,-1.4,False,2180.0,False
2026-02-14,1068.0,,True,False,95.425,96.15,96.89,-0.175,-1.48,False,1068.0,True
2026-02-15,2110.0,,True,False,95.25,95.91,96.68,-0.175,-1.55,False,2110.0,True
2026-02-16,1881.0,,True,False,95.075,95.69,96.49,-0.175,-1.6,False,1881.0,True
2026-02-17,1801.0,94.9,False,False,94.9,95.54,96.3,-0.175,-1.53,False,1801.0,False
2026-02-18,2146.0,94.8,False,False,94.8,95.34,96.11,-0.1,-1.55,False,2146.0,False
2026-02-19,2021.0,94.9,False,False,94.9,95.14,95.89,0.1,-1.5,False,2021.0,False
2026-02-20,1816.0,94.6,False,False,94.6,94.99,95.7,-0.3,-1.41,False,1816.0,False
2026-02-21,2111.0,94.5,False,False,94.5,94.86,95.5,-0.1,-1.29,False,2111.0,False
2026-02-22,2081.0,,True,False,94.325,94.73,95.32,-0.175,-1.18,False,2081.0,True
2026-02-23,2053.0,,True,False,94.15,94.6,95.14,-0.175,-1.09,False,2053.0,True
2026-02-24,2031.0,,True,False,93.975,94.46,95.0,-0.175,-1.08,False,2031.0,True
2026-02-25,1866.0,93.8,False,False,93.8,94.32,94.83,-0.175,-1.02,False,1866.0,False
2026-02-26,2225.0,93.8,False,False,93.8,94.16,94.65,0.0,-0.98,False,2225.0,False
2026-02-27,1945.0,93.8,False,False,93.8,94.05,94.52,0.0,-0.94,False,1945.0,False
2026-02-28,2240.0,93.8,False,False,93.8,93.95,94.41,0.0,-0.91,False,2240.0,False
2026-03-01,2581.0,,True,False,93.65,93.85,94.29,-0.15,-0.88,False,2581.0,True
2026-03-02,1690.0,93.5,False,False,93.5,93.76,94.18,-0.15,-0.84,False,1690.0,False
2026-03-03,1740.0,93.3,False,False,93.3,93.66,94.06,-0.2,-0.8,False,1740.0,False
2026-03-04,2289.0,,True,False,93.44999999999999,93.61,93.97,0.15,-0.71,False,2289.0,True
2026-03-05,2419.0,93.6,False,False,93.6,93.59,93.88,0.15,-0.57,False,2419.0,False
2026-03-06,3490.0,,True,False,93.69999999999999,93.57,93.81,0.1,-0.48,False,3490.0,True
2026-03-07,2800.0,93.8,False,False,93.8,93.57,93.76,0.1,-0.38,False,2800.0,False
2026-03-08,1780.0,,True,False,92.9,93.46,93.66,-0.9,-0.39,False,1780.0,True
2026-03-09,2190.0,92.0,False,False,92.0,93.25,93.51,-0.9,-0.51,False,2190.0,False
2026-03-10,1910.0,92.7,False,False,92.7,93.16,93.41,0.7,-0.5,False,1910.0,False
2026-03-11,1615.0,92.4,False,False,92.4,93.01,93.31,-0.3,-0.6,False,1615.0,False
2026-03-12,2240.0,93.1,False,False,93.1,92.94,93.26,0.7,-0.65,False,2240.0,False
2026-03-13,2210.0,,True,False,92.94999999999999,92.84,93.2,-0.15,-0.73,False,2210.0,True
2026-03-14,2150.0,,True,False,92.8,92.69,93.13,-0.15,-0.88,False,2150.0,True
2026-03-15,1964.0,,True,False,92.65,92.66,93.06,-0.15,-0.8,False,1964.0,True
2026-03-16,2154.0,92.5,False,False,92.5,92.73,92.99,-0.15,-0.52,False,2154.0,False
2026-03-17,1969.0,92.1,False,False,92.1,92.64,92.9,-0.4,-0.52,False,1969.0,False
2026-03-18,2340.0,,True,False,92.06666666666666,92.6,92.8,-0.033,-0.41,False,2340.0,True
2026-03-19,2710.0,,True,False,92.03333333333333,92.44,92.69,-0.033,-0.5,False,2710.0,True
2026-03-20,3555.0,,True,False,92.0,92.31,92.57,-0.033,-0.53,False,3555.0,True
2026-03-21,3555.0,,True,False,91.96666666666667,92.19,92.44,-0.033,-0.5,False,3555.0,True
2026-03-22,2860.0,,True,False,91.93333333333334,92.09,92.37,-0.033,-0.57,False,2860.0,True
2026-03-23,1660.0,91.9,False,False,91.9,92.0,92.36,-0.033,-0.73,False,1660.0,False
2026-03-24,2000.0,92.1,False,False,92.1,92.0,92.32,0.2,-0.64,False,2000.0,False
2026-03-25,1655.0,91.5,False,False,91.5,91.92,92.26,-0.6,-0.68,False,1655.0,False
2026-03-26,2200.0,91.3,False,False,91.3,91.81,92.13,-0.2,-0.63,False,2200.0,False
2026-03-27,2095.0,90.8,False,False,90.8,91.64,91.98,-0.5,-0.67,False,2095.0,False
2026-03-28,2100.0,91.0,False,False,91.0,91.5,91.85,0.2,-0.69,False,2100.0,False
2026-03-29,2100.0,,True,False,90.65,91.32,91.7,-0.35,-0.77,False,2100.0,True
2026-03-30,1870.0,90.3,False,False,90.3,91.09,91.55,-0.35,-0.91,False,1870.0,False
2026-03-31,2100.0,90.6,False,False,90.6,90.88,91.44,0.3,-1.12,False,2100.0,False
2026-04-01,2060.0,,True,False,90.4,90.72,91.32,-0.2,-1.2,False,2060.0,True
2026-04-02,2000.0,90.2,False,False,90.2,90.56,91.19,-0.2,-1.25,False,2000.0,False
2026-04-03,2100.0,90.7,False,False,90.7,90.55,91.1,0.5,-1.09,False,2100.0,False
2026-04-04,2400.0,89.4,False,False,89.4,90.32,90.91,-1.3,-1.18,False,2400.0,False
2026-04-05,2050.0,,True,False,89.35,90.14,90.73,-0.05,-1.18,False,2050.0,True
2026-04-06,2100.0,89.3,False,False,89.3,89.99,90.54,-0.05,-1.1,False,2100.0,False
2026-04-07,2100.0,,True,False,89.15,89.79,90.33,-0.15,-1.09,False,2100.0,True
2026-04-08,2100.0,89.0,False,False,89.0,89.59,90.15,-0.15,-1.13,False,2100.0,False
2026-04-09,2100.0,89.0,False,False,89.0,89.41,89.99,0.0,-1.15,False,2100.0,False
2026-04-10,2100.0,89.6,False,False,89.6,89.26,89.9,0.6,-1.29,False,2100.0,False
2026-04-11,2100.0,88.6,False,False,88.6,89.14,89.73,-1.0,-1.18,False,2100.0,False
2026-04-12,2105.0,,True,False,88.85,89.07,89.6,0.25,-1.07,False,2105.0,True
2026-04-13,2120.0,89.1,False,False,89.1,89.04,89.52,0.25,-0.95,False,2120.0,False
2026-04-14,1583.0,88.2,False,False,88.2,88.91,89.35,-0.9,-0.88,False,1583.0,False
2026-04-15,2089.0,88.7,False,False,88.7,88.86,89.22,0.5,-0.73,False,2089.0,False
2026-04-16,2099.0,88.0,False,False,88.0,88.72,89.07,-0.7,-0.69,False,2099.0,False
2026-04-17,2039.0,,True,False,87.875,88.48,88.87,-0.125,-0.78,False,2039.0,True
2026-04-18,1350.0,,True,False,87.75,88.35,88.75,-0.125,-0.79,False,1350.0,True
2026-04-19,2100.0,,True,False,87.625,88.18,88.62,-0.125,-0.89,False,2100.0,True
2026-04-20,2045.0,87.5,False,False,87.5,87.95,88.5,-0.125,-1.09,False,2045.0,False
2026-04-21,2100.0,87.9,False,False,87.9,87.91,88.41,0.4,-1.0,False,2100.0,False
2026-04-22,1884.0,88.3,False,False,88.3,87.85,88.36,0.4,-1.01,False,1884.0,False
2026-04-23,2060.0,,True,False,87.44999999999999,87.77,88.25,-0.85,-0.95,False,2060.0,True
2026-04-24,2100.0,86.6,False,False,86.6,87.59,88.03,-0.85,-0.89,False,2100.0,False
2026-04-25,1978.0,,True,False,87.2,87.51,87.93,0.6,-0.84,False,1978.0,True
2026-04-26,1992.0,,True,False,87.8,87.54,87.86,0.6,-0.64,False,1992.0,True
2026-04-27,2036.0,88.4,False,False,88.4,87.66,87.81,0.6,-0.29,False,2036.0,False
2026-04-28,2064.0,87.6,False,False,87.6,87.62,87.76,-0.8,-0.29,False,2064.0,False
2026-04-29,2068.0,86.5,False,False,86.5,87.36,87.61,-1.1,-0.49,False,2068.0,False
2026-04-30,2100.0,87.0,False,False,87.0,87.3,87.54,0.5,-0.47,False,2100.0,False
2026-05-01,2263.0,86.1,False,False,86.1,87.23,87.41,-0.9,-0.36,False,2263.0,False
2026-05-02,3200.0,87.3,False,False,87.3,87.24,87.38,1.2,-0.27,False,3200.0,False
2026-05-03,2791.0,,True,False,87.16666666666666,87.15,87.34,-0.133,-0.39,False,2791.0,True
2026-05-04,1587.0,,True,False,87.03333333333333,86.96,87.31,-0.133,-0.7,False,1587.0,True
2026-05-05,1696.0,,True,False,86.89999999999999,86.86,87.24,-0.133,-0.76,False,1696.0,True
2026-05-06,2019.0,,True,False,86.76666666666667,86.9,87.13,-0.133,-0.46,False,2019.0,True
2026-05-07,2916.0,,True,False,86.63333333333333,86.84,87.07,-0.133,-0.46,False,2916.0,True
2026-05-08,2722.0,,True,False,86.5,86.9,87.06,-0.133,-0.33,False,2722.0,True
2026-05-09,2400.0,,True,False,86.36666666666666,86.77,87.0,-0.133,-0.47,False,2400.0,True
2026-05-10,3106.0,,True,False,86.23333333333333,86.63,86.89,-0.133,-0.52,False,3106.0,True
2026-05-11,2097.0,86.1,False,False,86.1,86.5,86.73,-0.133,-0.46,False,2097.0,False
2026-05-12,2088.0,85.9,False,False,85.9,86.36,86.61,-0.2,-0.5,False,2088.0,False
2026-05-13,2057.0,85.5,False,False,85.5,86.18,86.54,-0.4,-0.72,False,2057.0,False
2026-05-14,1832.0,85.5,False,False,85.5,86.01,86.43,0.0,-0.83,False,1832.0,False
